CASEID,STORE,Week,Season,BRAND,MOVE,logmove,UNIT PRICE,logprice,Feat,D1,D2,D3,X,D1X,D2X,D3X,D12,D12X,AGE9,AGE60,ETHNIC,EDUC,NOCAR,INCOME,HHLARGE,POVERTY,SINGLE
11,2,27,Spring,FG VALENCIA,5,1.609437912,3.08,1.124929597,0,0,0,0,1.124929597,0,0,0,0,0,0.117508576,0.232864734,0.114279949,0.248934934,0.124602894,10.55320518,0.103953406,0.0619594,0.297620974
12,12,2,Fall,FG VALENCIA,40,3.688879454,2.29,0.828551818,0,0,0,0,0.828551818,0,0,0,0,0,0.10569674,0.178341405,0.380697988,0.253412969,0.483517598,9.996659083,0.057212416,0.168864097,0.451637338
13,71,29,Spring,FG VALENCIA,4,1.386294361,3.08,1.124929597,0,0,0,0,1.124929597,0,0,0,0,0,0.111723683,0.26807087,0.074828009,0.159588077,0.15343218,10.40483843,0.075013729,0.073374341,0.26706132
14,49,185,Spring,FG VALENCIA,16,2.772588722,1.79,0.58221562,0,0,0,0,0.58221562,0,0,0,0,0,0.134877735,0.187473187,0.038352638,0.319949969,0.054382022,10.80675383,0.10247191,0.028320971,0.237270004
15,68,186,Spring,FG VALENCIA,7,1.945910149,1.79,0.58221562,1,0,0,0,0.58221562,0,0,0,0,0,0.130970406,0.181417756,0.220991053,0.159721511,0.305255707,10.1883657,0.108476376,0.098212706,0.34005229
16,93,113,Fall,FG VALENCIA,6,1.791759469,2.39,0.871293366,0,0,0,0,0.871293366,0,0,0,0,0,0.112512768,0.142390194,0.347395301,0.363016383,0.238512583,10.36719012,0.072001002,0.078126956,0.451428571
17,116,68,Winter,FG VALENCIA,20,2.995732274,1.99,0.688134639,1,0,0,0,0.688134639,0,0,0,0,0,0.139877224,0.18817339,0.033137058,0.259224748,0.060981912,10.69711335,0.117657192,0.036188179,0.248022555
18,97,178,Winter,FG VALENCIA,3,1.098612289,2.39,0.871293366,0,0,0,0,0.871293366,0,0,0,0,0,0.168599946,0.142433234,0.233612085,0.178182783,0.08465202,10.48374595,0.139324117,0.063450607,0.26783542
19,102,56,Fall,FG VALENCIA,27,3.295836866,2.53,0.928219303,0,0,0,0,0.928219303,0,0,0,0,0,0.14694592,0.216626232,0.172158585,0.120657539,0.114071326,10.49385422,0.13893104,0.068706795,0.285636477
20,86,68,Winter,FG VALENCIA,16,2.772588722,1.99,0.688134639,1,0,0,0,0.688134639,0,0,0,0,0,0.141758513,0.138756374,0.427866425,0.096763919,0.353421218,10.08897077,0.118656482,0.15266297,0.384547713
21,74,78,Spring,FG VALENCIA,36,3.583518938,2.19,0.783901544,1,0,0,0,0.783901544,0,0,0,0,0,0.093843178,0.307397856,0.041542429,0.07119776,0.14364528,10.48001664,0.090196478,0.06509299,0.25636593
22,5,195,Summer,FG VALENCIA,39,3.663561646,1.59,0.463734016,1,0,0,0,0.463734016,0,0,0,0,0,0.141433483,0.117368032,0.053875277,0.32122573,0.025569503,10.92237097,0.103091585,0.025104603,0.26458527
23,78,2,Fall,FG VALENCIA,9,2.197224577,2.19,0.783901544,0,0,0,0,0.783901544,0,0,0,0,0,0.155391168,0.111947994,0.056086079,0.314432275,0.013869969,10.95917494,0.111221204,0.017341756,0.246319072
24,88,76,Spring,FG VALENCIA,15,2.708050201,1.99,0.688134639,0,0,0,0,0.688134639,0,0,0,0,0,0.136417189,0.160414212,0.142928009,0.15163275,0.049690509,10.54980515,0.13516767,0.037482806,0.273775439
25,94,139,Spring,FG VALENCIA,56,4.025351691,1.79,0.58221562,0,0,0,0,0.58221562,0,0,0,0,0,0.160410056,0.103002197,0.059311691,0.229390404,0.012373453,10.7445158,0.128111377,0.033192686,0.245199033
26,128,20,Winter,FG VALENCIA,51,3.931825633,2.31,0.837247525,1,0,0,0,0.837247525,0,0,0,0,0,0.138208506,0.157485189,0.355911221,0.211896894,0.34014789,10.15342882,0.100043497,0.113527621,0.397690129
27,12,159,Fall,FG VALENCIA,351,5.860786223,1.59,0.463734016,1,0,0,0,0.463734016,0,0,0,0,0,0.10569674,0.178341405,0.380697988,0.253412969,0.483517598,9.996659083,0.057212416,0.168864097,0.451637338
28,51,197,Summer,FG VALENCIA,2,0.693147181,1.79,0.58221562,0,0,0,0,0.58221562,0,0,0,0,0,0.132472108,0.176159718,0.025425719,0.171916711,0.025436409,10.62083942,0.130340815,0.039401496,0.256408378
29,40,166,Fall,FG VALENCIA,16,2.772588722,1.92,0.652325186,0,0,0,0,0.652325186,0,0,0,0,0,0.133684648,0.1818518,0.044053067,0.072128605,0.046329569,10.55025042,0.126812989,0.055184805,0.266478451
30,122,42,Summer,FG VALENCIA,13,2.564949357,2.53,0.928219303,0,0,0,0,0.928219303,0,0,0,0,0,0.16735739,0.061953911,0.078372885,0.255889066,0.019283122,10.77505285,0.125831821,0.018980641,0.269524042
31,83,135,Spring,FG VALENCIA,44,3.784189634,1.69,0.524728529,1,0,0,0,0.524728529,0,0,0,0,0,0.127057732,0.200834686,0.107628101,0.145984905,0.043726467,10.45607873,0.098153547,0.057222695,0.233426918
32,106,81,Spring,FG VALENCIA,13,2.564949357,2.19,0.783901544,1,0,0,0,0.783901544,0,0,0,0,0,0.187403158,0.109887349,0.19058587,0.157939308,0.058229718,10.50684678,0.146638759,0.059091469,0.241658587
33,101,75,Winter,FG VALENCIA,28,3.33220451,1.99,0.688134639,1,0,0,0,0.688134639,0,0,0,0,0,0.116924935,0.225035218,0.087422017,0.174741859,0.061029945,10.65993812,0.096042271,0.038226458,0.255044273
34,78,190,Spring,FG VALENCIA,45,3.80666249,1.49,0.39877612,1,0,0,0,0.39877612,0,0,0,0,0,0.155391168,0.111947994,0.056086079,0.314432275,0.013869969,10.95917494,0.111221204,0.017341756,0.246319072
35,12,63,Winter,FG VALENCIA,22,3.091042453,2.79,1.026041596,1,0,0,0,1.026041596,0,0,0,0,0,0.10569674,0.178341405,0.380697988,0.253412969,0.483517598,9.996659083,0.057212416,0.168864097,0.451637338
36,124,56,Fall,FG VALENCIA,61,4.110873864,3.08,1.124929597,0,0,0,0,1.124929597,0,0,0,0,0,0.153264605,0.119625811,0.572355861,0.261875835,0.292719615,10.25895677,0.12494986,0.133861426,0.409321575
37,121,1,Fall,FG VALENCIA,4,1.386294361,2.19,0.783901544,0,0,0,0,0.783901544,0,0,0,0,0,0.131251097,0.16358133,0.039173539,0.35061287,0.023876247,10.94992897,0.091693756,0.016704036,0.252030319
38,70,30,Spring,FG VALENCIA,9,2.197224577,2.19,0.783901544,0,0,0,0,0.783901544,0,0,0,0,0,0.143345982,0.190235804,0.162860821,0.165669605,0.081125525,10.41235125,0.110542664,0.087977343,0.26475788
39,54,111,Fall,FG VALENCIA,3,1.098612289,2.17,0.774727168,0,0,0,0,0.774727168,0,0,0,0,0,0.147914585,0.090222278,0.046640859,0.421125644,0.020840225,10.91089788,0.103522408,0.021336421,0.299425562
40,74,96,Summer,FG VALENCIA,4,1.386294361,2.36,0.858661619,0,0,0,0,0.858661619,0,0,0,0,0,0.093843178,0.307397856,0.041542429,0.07119776,0.14364528,10.48001664,0.090196478,0.06509299,0.25636593
41,98,93,Summer,FG VALENCIA,110,4.700480366,1.29,0.254642218,0,0,0,0,0.254642218,0,0,0,0,0,0.118516496,0.24920053,0.164963731,0.051702821,0.149392499,10.57359638,0.125409403,0.065095636,0.275618876
42,18,56,Fall,FG VALENCIA,25,3.218875825,2.53,0.928219303,0,0,0,0,0.928219303,0,0,0,0,0,0.110094984,0.272313368,0.074417144,0.072246456,0.141974694,10.39197554,0.097937631,0.075727381,0.256403079
43,64,66,Winter,FG VALENCIA,26,3.258096538,1.99,0.688134639,0,0,0,0,0.688134639,0,0,0,0,0,0.148404104,0.141992021,0.070034198,0.16082131,0.043620725,10.60581744,0.135339885,0.038713642,0.265272875
44,32,26,Spring,FG VALENCIA,6,1.791759469,3.08,1.124929597,0,0,0,0,1.124929597,0,0,0,0,0,0.099060632,0.254953032,0.031938514,0.198259861,0.071700834,10.67447502,0.080251365,0.037700865,0.265329599
45,117,186,Spring,FG VALENCIA,15,2.708050201,1.79,0.58221562,1,0,0,0,0.58221562,0,0,0,0,0,0.139093717,0.110102729,0.049851894,0.249083542,0.018772197,10.76096203,0.106357795,0.018599932,0.262193178
46,124,27,Spring,FG VALENCIA,7,1.945910149,2.91,1.068153081,0,0,0,0,1.068153081,0,0,0,0,0,0.153264605,0.119625811,0.572355861,0.261875835,0.292719615,10.25895677,0.12494986,0.133861426,0.409321575
47,109,62,Fall,FG VALENCIA,19,2.944438979,2.79,1.026041596,1,0,0,0,1.026041596,0,0,0,0,0,0.147519804,0.151055656,0.060687451,0.476916693,0.030239311,11.23319833,0.114171257,0.023230199,0.231391726
48,48,51,Fall,FG VALENCIA,12,2.48490665,2.71,0.996948635,1,0,0,0,0.996948635,0,0,0,0,0,0.12176708,0.097921961,0.099491703,0.303260384,0.021208908,10.75602879,0.07848683,0.018204312,0.334087413
49,47,192,Spring,FG VALENCIA,73,4.290459441,1.49,0.39877612,1,0,0,0,0.39877612,0,0,0,0,0,0.142961682,0.125798297,0.120675891,0.140598651,0.021297382,10.63532646,0.145731588,0.032623559,0.275212381
50,74,167,Winter,FG VALENCIA,24,3.17805383,1.79,0.58221562,0,0,0,0,0.58221562,0,0,0,0,0,0.093843178,0.307397856,0.041542429,0.07119776,0.14364528,10.48001664,0.090196478,0.06509299,0.25636593
51,76,132,Spring,FG VALENCIA,158,5.062595033,1.59,0.463734016,0,0,0,0,0.463734016,0,0,0,0,0,0.141774676,0.149192423,0.425324028,0.087711787,0.347964098,10.1406129,0.144373905,0.133099825,0.317409394
52,102,119,Winter,FG VALENCIA,12,2.48490665,1.99,0.688134639,0,0,0,0,0.688134639,0,0,0,0,0,0.14694592,0.216626232,0.172158585,0.120657539,0.114071326,10.49385422,0.13893104,0.068706795,0.285636477
53,103,90,Summer,FG VALENCIA,7,1.945910149,1.69,0.524728529,1,0,0,0,0.524728529,0,0,0,0,0,0.185393984,0.058053966,0.187760899,0.194621102,0.015063237,10.58524512,0.204916868,0.033110701,0.262553802
54,77,37,Summer,FG VALENCIA,14,2.63905733,2.53,0.928219303,0,0,0,0,0.928219303,0,0,0,0,0,0.174716756,0.10110045,0.073507887,0.376871097,0.016867843,10.98312087,0.118093174,0.025692617,0.230663978
55,54,115,Winter,FG VALENCIA,13,2.564949357,1.34,0.292669614,1,0,0,0,0.292669614,0,0,0,0,0,0.147914585,0.090222278,0.046640859,0.421125644,0.020840225,10.91089788,0.103522408,0.021336421,0.299425562
56,115,123,Winter,FG VALENCIA,11,2.397895273,2.08,0.732367894,0,0,0,0,0.732367894,0,0,0,0,0,0.185493511,0.060280055,0.043971995,0.406312482,0.018763942,10.94748525,0.151332196,0.018897638,0.236840561
57,90,71,Winter,FG VALENCIA,21,3.044522438,1.99,0.688134639,1,0,0,0,0.688134639,0,0,0,0,0,0.129722571,0.225219573,0.268367489,0.050193454,0.180874722,10.5046565,0.124328331,0.091751622,0.285503472
58,70,91,Summer,FG VALENCIA,8,2.079441542,1.89,0.636576829,0,0,0,0,0.636576829,0,0,0,0,0,0.143345982,0.190235804,0.162860821,0.165669605,0.081125525,10.41235125,0.110542664,0.087977343,0.26475788
59,73,51,Fall,FG VALENCIA,55,4.007333185,2.36,0.858661619,1,0,0,0,0.858661619,0,0,0,0,0,0.124465022,0.257450782,0.109213291,0.07305396,0.133319044,10.61496569,0.135340763,0.062145077,0.264121264
60,49,155,Fall,FG VALENCIA,10,2.302585093,1.79,0.58221562,0,0,0,0,0.58221562,0,0,0,0,0,0.134877735,0.187473187,0.038352638,0.319949969,0.054382022,10.80675383,0.10247191,0.028320971,0.237270004
61,59,130,Spring,FG VALENCIA,35,3.555348061,1.65,0.500775288,1,0,0,0,0.500775288,0,0,0,0,0,0.172145374,0.110818913,0.024246568,0.233036093,0.031318168,10.7150398,0.140676118,0.038323726,0.213364348
62,90,105,Fall,FG VALENCIA,91,4.510859507,1.99,0.688134639,0,0,0,0,0.688134639,0,0,0,0,0,0.129722571,0.225219573,0.268367489,0.050193454,0.180874722,10.5046565,0.124328331,0.091751622,0.285503472
63,53,99,Summer,FG VALENCIA,4,1.386294361,2.49,0.91228271,0,0,0,0,0.91228271,0,0,0,0,0,0.120839139,0.300278681,0.065722248,0.2703835,0.145362903,10.60000405,0.113686757,0.063319218,0.233270677
64,73,139,Spring,FG VALENCIA,25,3.218875825,1.79,0.58221562,0,0,0,0,0.58221562,0,0,0,0,0,0.124465022,0.257450782,0.109213291,0.07305396,0.133319044,10.61496569,0.135340763,0.062145077,0.264121264
65,134,179,Winter,FG VALENCIA,8,2.079441542,1.88,0.631271777,0,0,0,0,0.631271777,0,0,0,0,0,0.192817818,0.090152653,0.105855856,0.247949139,0.021371673,10.7225182,0.154877575,0.027977463,0.219711825
66,80,74,Winter,FG VALENCIA,20,2.995732274,1.89,0.636576829,0,0,0,0,0.636576829,0,0,0,0,0,0.138604057,0.152691263,0.041910238,0.304465687,0.030874641,10.90950929,0.099890045,0.023853832,0.253846154
67,121,67,Winter,FG VALENCIA,6,1.791759469,1.99,0.688134639,0,0,0,0,0.688134639,0,0,0,0,0,0.131251097,0.16358133,0.039173539,0.35061287,0.023876247,10.94992897,0.091693756,0.016704036,0.252030319
68,28,66,Winter,FG VALENCIA,27,3.295836866,1.99,0.688134639,0,0,0,0,0.688134639,0,0,0,0,0,0.128879537,0.213308785,0.055935473,0.233162564,0.054855275,10.79853422,0.103665655,0.035497431,0.233601718
69,9,42,Summer,FG VALENCIA,9,2.197224577,2.53,0.928219303,0,0,0,0,0.928219303,0,0,0,0,0,0.103503097,0.269119018,0.032618826,0.222172318,0.040127944,10.78715178,0.096830474,0.028060483,0.230005193
70,81,106,Fall,FG VALENCIA,9,2.197224577,1.99,0.688134639,1,0,0,0,0.688134639,0,0,0,0,0,0.116792163,0.181118938,0.073961623,0.234201612,0.033180662,10.71993585,0.088337065,0.031450382,0.275213259
71,107,188,Spring,FG VALENCIA,36,3.583518938,1.92,0.652325186,0,0,0,0,0.652325186,0,0,0,0,0,0.119089317,0.261867453,0.025624482,0.273051907,0.042052145,10.82713119,0.094316953,0.027871216,0.216217723
72,131,77,Spring,FG VALENCIA,7,1.945910149,2.36,0.858661619,0,0,0,0,0.858661619,0,0,0,0,0,0.124252223,0.17065481,0.074656427,0.2713958,0.037446985,10.79353697,0.090100341,0.027004656,0.274067522
73,51,64,Winter,FG VALENCIA,10,2.302585093,2.79,1.026041596,0,0,0,0,1.026041596,0,0,0,0,0,0.132472108,0.176159718,0.025425719,0.171916711,0.025436409,10.62083942,0.130340815,0.039401496,0.256408378
74,126,169,Winter,FG VALENCIA,24,3.17805383,1.79,0.58221562,0,0,0,0,0.58221562,0,0,0,0,0,0.160059877,0.107002273,0.045018573,0.413222417,0.023449553,10.9808762,0.113699475,0.01373033,0.262072942
75,129,88,Spring,FG VALENCIA,87,4.465908119,1.69,0.524728529,1,0,0,0,0.524728529,0,0,0,0,0,0.172501467,0.103412869,0.034128692,0.307842548,0.024509101,10.99986401,0.122080527,0.029529817,0.203080691
76,137,150,Summer,FG VALENCIA,14,2.63905733,2.09,0.737164066,1,0,0,0,0.737164066,0,0,0,0,0,0.146442828,0.20960245,0.11324985,0.528362014,0.104093567,10.96648993,0.092996052,0.038157895,0.237442293
77,84,125,Winter,FG VALENCIA,18,2.890371758,1.79,0.58221562,0,0,0,0,0.58221562,0,0,0,0,0,0.164657284,0.122100005,0.02963639,0.188094318,0.013319672,10.76561773,0.161592506,0.024297424,0.231269528
78,77,114,Fall,FG VALENCIA,2,0.693147181,1.89,0.636576829,1,0,0,0,0.636576829,0,0,0,0,0,0.174716756,0.10110045,0.073507887,0.376871097,0.016867843,10.98312087,0.118093174,0.025692617,0.230663978
79,53,64,Winter,FG VALENCIA,11,2.397895273,2.79,1.026041596,0,0,0,0,1.026041596,0,0,0,0,0,0.120839139,0.300278681,0.065722248,0.2703835,0.145362903,10.60000405,0.113686757,0.063319218,0.233270677
80,40,61,Fall,FG VALENCIA,12,2.48490665,2.19,0.783901544,0,0,0,0,0.783901544,0,0,0,0,0,0.133684648,0.1818518,0.044053067,0.072128605,0.046329569,10.55025042,0.126812989,0.055184805,0.266478451
81,9,166,Fall,FG VALENCIA,31,3.433987204,1.92,0.652325186,0,0,0,0,0.652325186,0,0,0,0,0,0.103503097,0.269119018,0.032618826,0.222172318,0.040127944,10.78715178,0.096830474,0.028060483,0.230005193
82,104,134,Spring,FG VALENCIA,100,4.605170186,1.29,0.254642218,1,0,0,0,0.254642218,0,0,0,0,0,0.162936142,0.135286373,0.039405624,0.249684461,0.034121083,10.69885282,0.117514274,0.034386617,0.22884342
83,40,142,Summer,FG VALENCIA,35,3.555348061,1.79,0.58221562,0,0,0,0,0.58221562,0,0,0,0,0,0.133684648,0.1818518,0.044053067,0.072128605,0.046329569,10.55025042,0.126812989,0.055184805,0.266478451
84,40,85,Spring,FG VALENCIA,20,2.995732274,1.79,0.58221562,0,0,0,0,0.58221562,0,0,0,0,0,0.133684648,0.1818518,0.044053067,0.072128605,0.046329569,10.55025042,0.126812989,0.055184805,0.266478451
85,28,28,Spring,FG VALENCIA,8,2.079441542,2.91,1.068153081,0,0,0,0,1.068153081,0,0,0,0,0,0.128879537,0.213308785,0.055935473,0.233162564,0.054855275,10.79853422,0.103665655,0.035497431,0.233601718
86,62,116,Winter,FG VALENCIA,22,3.091042453,1.29,0.254642218,0,0,0,0,0.254642218,0,0,0,0,0,0.133509324,0.222534262,0.026510896,0.517760337,0.026528434,11.23619652,0.103979265,0.019975602,0.206418161
87,76,52,Fall,FG VALENCIA,617,6.424869024,1.99,0.688134639,1,0,0,0,0.688134639,0,0,0,0,0,0.141774676,0.149192423,0.425324028,0.087711787,0.347964098,10.1406129,0.144373905,0.133099825,0.317409394
88,116,21,Winter,FG VALENCIA,14,2.63905733,2.09,0.737164066,0,0,0,0,0.737164066,0,0,0,0,0,0.139877224,0.18817339,0.033137058,0.259224748,0.060981912,10.69711335,0.117657192,0.036188179,0.248022555
89,111,31,Spring,FG VALENCIA,9,2.197224577,3.08,1.124929597,0,0,0,0,1.124929597,0,0,0,0,0,0.145874221,0.210512842,0.995690759,0.096928919,0.334262176,10.13828296,0.157135934,0.171653543,0.377741408
90,116,38,Summer,FG VALENCIA,7,1.945910149,2.53,0.928219303,1,0,0,0,0.928219303,0,0,0,0,0,0.139877224,0.18817339,0.033137058,0.259224748,0.060981912,10.69711335,0.117657192,0.036188179,0.248022555
91,102,106,Fall,FG VALENCIA,60,4.094344562,1.99,0.688134639,0,0,0,0,0.688134639,0,0,0,0,0,0.14694592,0.216626232,0.172158585,0.120657539,0.114071326,10.49385422,0.13893104,0.068706795,0.285636477
92,116,25,Spring,FG VALENCIA,7,1.945910149,2.53,0.928219303,0,0,0,0,0.928219303,0,0,0,0,0,0.139877224,0.18817339,0.033137058,0.259224748,0.060981912,10.69711335,0.117657192,0.036188179,0.248022555
93,77,102,Fall,FG VALENCIA,8,2.079441542,1.89,0.636576829,0,0,0,0,0.636576829,0,0,0,0,0,0.174716756,0.10110045,0.073507887,0.376871097,0.016867843,10.98312087,0.118093174,0.025692617,0.230663978
94,131,155,Fall,FG VALENCIA,27,3.295836866,1.73,0.548121409,0,0,0,0,0.548121409,0,0,0,0,0,0.124252223,0.17065481,0.074656427,0.2713958,0.037446985,10.79353697,0.090100341,0.027004656,0.274067522
95,123,87,Spring,FG VALENCIA,37,3.610917913,2.49,0.91228271,0,0,0,0,0.91228271,0,0,0,0,0,0.138477591,0.176040942,0.204809699,0.153191489,0.241944444,10.33410045,0.145040289,0.087524312,0.316291161
96,116,189,Spring,FG VALENCIA,15,2.708050201,1.79,0.58221562,1,0,0,0,0.58221562,0,0,0,0,0,0.139877224,0.18817339,0.033137058,0.259224748,0.060981912,10.69711335,0.117657192,0.036188179,0.248022555
97,106,183,Spring,FG VALENCIA,24,3.17805383,2.56,0.940007258,0,0,0,0,0.940007258,0,0,0,0,0,0.187403158,0.109887349,0.19058587,0.157939308,0.058229718,10.50684678,0.146638759,0.059091469,0.241658587
98,59,189,Spring,FG VALENCIA,10,2.302585093,1.79,0.58221562,0,0,0,0,0.58221562,0,0,0,0,0,0.172145374,0.110818913,0.024246568,0.233036093,0.031318168,10.7150398,0.140676118,0.038323726,0.213364348
99,86,155,Fall,FG VALENCIA,16,2.772588722,1.79,0.58221562,0,0,0,0,0.58221562,0,0,0,0,0,0.141758513,0.138756374,0.427866425,0.096763919,0.353421218,10.08897077,0.118656482,0.15266297,0.384547713
100,18,121,Winter,FG VALENCIA,49,3.891820298,1.79,0.58221562,1,0,0,0,0.58221562,0,0,0,0,0,0.110094984,0.272313368,0.074417144,0.072246456,0.141974694,10.39197554,0.097937631,0.075727381,0.256403079
101,48,135,Spring,FG VALENCIA,28,3.33220451,1.69,0.524728529,1,0,0,0,0.524728529,0,0,0,0,0,0.12176708,0.097921961,0.099491703,0.303260384,0.021208908,10.75602879,0.07848683,0.018204312,0.334087413
102,50,21,Winter,FG VALENCIA,9,2.197224577,1.99,0.688134639,0,0,0,0,0.688134639,0,0,0,0,0,0.124420402,0.153357376,0.07092564,0.128764278,0.036434464,10.58930796,0.111798396,0.042153494,0.280109682
103,113,150,Summer,FG VALENCIA,29,3.36729583,1.79,0.58221562,1,0,0,0,0.58221562,0,0,0,0,0,0.103084931,0.299352545,0.026448309,0.151592429,0.144444444,10.64766049,0.091559829,0.046153846,0.255682382
104,53,83,Spring,FG VALENCIA,241,5.484796933,1.79,0.58221562,1,0,0,0,0.58221562,0,0,0,0,0,0.120839139,0.300278681,0.065722248,0.2703835,0.145362903,10.60000405,0.113686757,0.063319218,0.233270677
105,83,13,Winter,FG VALENCIA,11,2.397895273,1.99,0.688134639,0,0,0,0,0.688134639,0,0,0,0,0,0.127057732,0.200834686,0.107628101,0.145984905,0.043726467,10.45607873,0.098153547,0.057222695,0.233426918
106,44,93,Summer,FG VALENCIA,194,5.267858159,1.29,0.254642218,1,0,0,0,0.254642218,0,0,0,0,0,0.144883485,0.190982776,0.037632074,0.329738388,0.040766408,10.86915875,0.116388096,0.030154849,0.226447947
107,83,112,Fall,FG VALENCIA,14,2.63905733,1.89,0.636576829,0,0,0,0,0.636576829,0,0,0,0,0,0.127057732,0.200834686,0.107628101,0.145984905,0.043726467,10.45607873,0.098153547,0.057222695,0.233426918
108,72,143,Summer,FG VALENCIA,14,2.63905733,2.39,0.871293366,0,0,0,0,0.871293366,0,0,0,0,0,0.105576311,0.283727688,0.04593884,0.268724553,0.067621465,10.71219307,0.101522843,0.040246555,0.226300197
109,95,130,Spring,FG VALENCIA,93,4.532599493,1.69,0.524728529,1,0,0,0,0.524728529,0,0,0,0,0,0.112635331,0.230717504,0.096900007,0.085642082,0.251879699,10.38347245,0.105074321,0.078619039,0.278678004
110,114,70,Winter,FG VALENCIA,4,1.386294361,2.53,0.928219303,0,0,0,0,0.928219303,0,0,0,0,0,0.14681976,0.182173295,0.441169508,0.094424515,0.085277045,10.34794899,0.111967075,0.082858349,0.289701733
111,73,187,Spring,FG VALENCIA,11,2.397895273,1.79,0.58221562,0,0,0,0,0.58221562,0,0,0,0,0,0.124465022,0.257450782,0.109213291,0.07305396,0.133319044,10.61496569,0.135340763,0.062145077,0.264121264
112,68,4,Fall,FG VALENCIA,79,4.369447852,2.29,0.828551818,0,0,0,0,0.828551818,0,0,0,0,0,0.130970406,0.181417756,0.220991053,0.159721511,0.305255707,10.1883657,0.108476376,0.098212706,0.34005229
113,88,161,Fall,FG VALENCIA,31,3.433987204,1.79,0.58221562,0,0,0,0,0.58221562,0,0,0,0,0,0.136417189,0.160414212,0.142928009,0.15163275,0.049690509,10.54980515,0.13516767,0.037482806,0.273775439
114,40,101,Summer,FG VALENCIA,12,2.48490665,1.89,0.636576829,0,0,0,0,0.636576829,0,0,0,0,0,0.133684648,0.1818518,0.044053067,0.072128605,0.046329569,10.55025042,0.126812989,0.055184805,0.266478451
115,59,158,Fall,FG VALENCIA,139,4.934473933,1.59,0.463734016,1,0,0,0,0.463734016,0,0,0,0,0,0.172145374,0.110818913,0.024246568,0.233036093,0.031318168,10.7150398,0.140676118,0.038323726,0.213364348
116,95,189,Spring,FG VALENCIA,38,3.63758616,1.89,0.636576829,1,0,0,0,0.636576829,0,0,0,0,0,0.112635331,0.230717504,0.096900007,0.085642082,0.251879699,10.38347245,0.105074321,0.078619039,0.278678004
117,100,114,Fall,FG VALENCIA,59,4.077537444,1.99,0.688134639,1,0,0,0,0.688134639,0,0,0,0,0,0.184360976,0.136995144,0.564086801,0.049550286,0.365650445,10.0365751,0.216354344,0.166714002,0.360772697
118,48,45,Summer,FG VALENCIA,8,2.079441542,2.75,1.011600912,1,0,0,0,1.011600912,0,0,0,0,0,0.12176708,0.097921961,0.099491703,0.303260384,0.021208908,10.75602879,0.07848683,0.018204312,0.334087413
119,33,27,Spring,FG VALENCIA,16,2.772588722,3.08,1.124929597,0,0,0,0,1.124929597,0,0,0,0,0,0.046070917,0.134169965,0.130127179,0.419688004,0.506223517,10.34592726,0.013506356,0.087538074,0.593475533
